temps,vitesse
0.00,300.00
0.01,312.56
0.02,325.07
0.03,337.48
0.04,349.74
0.05,361.80
0.06,373.62
0.07,385.16
0.08,396.35
0.09,407.17
0.10,417.56
0.11,427.48
0.12,436.91
0.13,445.79
0.14,454.10
0.15,461.80
0.16,468.87
0.17,475.26
0.18,480.97
0.19,485.96
0.20,490.21
0.21,493.72
0.22,496.46
0.23,498.42
0.24,499.61
0.25,500.00
0.26,499.61
0.27,498.42
0.28,496.46
0.29,493.72
0.30,490.21
0.31,485.96
0.32,480.97
0.33,475.26
0.34,468.87
0.35,461.80
0.36,454.10
0.37,445.79
0.38,436.91
0.39,427.48
0.40,417.56
0.41,407.17
0.42,396.35
0.43,385.16
0.44,373.62
0.45,361.80
0.46,349.74
0.47,337.48
0.48,325.07
0.49,312.56
0.50,300.00
0.51,287.44
0.52,274.93
0.53,262.52
0.54,250.26
0.55,238.20
0.56,226.38
0.57,214.84
0.58,203.65
0.59,192.83
0.60,182.44
0.61,172.52
0.62,163.09
0.63,154.21
0.64,145.90
0.65,138.20
0.66,131.13
0.67,124.74
0.68,119.03
0.69,114.04
0.70,109.79
0.71,106.28
0.72,103.54
0.73,101.58
0.74,100.39
0.75,100.00
0.76,100.39
0.77,101.58
0.78,103.54
0.79,106.28
0.80,109.79
0.81,114.04
0.82,119.03
0.83,124.74
0.84,131.13
0.85,138.20
0.86,145.90
0.87,154.21
0.88,163.09
0.89,172.52
0.90,182.44
0.91,192.83
0.92,203.65
0.93,214.84
0.94,226.38
0.95,238.20
0.96,250.26
0.97,262.52
0.98,274.93
0.99,287.44
1.00,300.00
1.01,312.56
1.02,325.07
1.03,337.48
1.04,349.74
1.05,361.80
1.06,373.62
1.07,385.16
1.08,396.35
1.09,407.17
1.10,417.56
1.11,427.48
1.12,436.91
1.13,445.79
1.14,454.10
1.15,461.80
1.16,468.87
1.17,475.26
1.18,480.97
1.19,485.96
1.20,490.21
1.21,493.72
1.22,496.46
1.23,498.42
1.24,499.61
1.25,500.00
1.26,499.61
1.27,498.42
1.28,496.46
1.29,493.72
1.30,490.21
1.31,485.96
1.32,480.97
1.33,475.26
1.34,468.87
1.35,461.80
1.36,454.10
1.37,445.79
1.38,436.91
1.39,427.48
1.40,417.56
1.41,407.17
1.42,396.35
1.43,385.16
1.44,373.62
1.45,361.80
1.46,349.74
1.47,337.48
1.48,325.07
1.49,312.56
1.50,300.00
1.51,287.44
1.52,274.93
1.53,262.52
1.54,250.26
1.55,238.20
1.56,226.38
1.57,214.84
1.58,203.65
1.59,192.83
1.60,182.44
1.61,172.52
1.62,163.09
1.63,154.21
1.64,145.90
1.65,138.20
1.66,131.13
1.67,124.74
1.68,119.03
1.69,114.04
1.70,109.79
1.71,106.28
1.72,103.54
1.73,101.58
1.74,100.39
1.75,100.00
1.76,100.39
1.77,101.58
1.78,103.54
1.79,106.28
1.80,109.79
1.81,114.04
1.82,119.03
1.83,124.74
1.84,131.13
1.85,138.20
1.86,145.90
1.87,154.21
1.88,163.09
1.89,172.52
1.90,182.44
1.91,192.83
1.92,203.65
1.93,214.84
1.94,226.38
1.95,238.20
1.96,250.26
1.97,262.52
1.98,274.93
1.99,287.44
2.00,300.00
2.01,312.56
2.02,325.07
2.03,337.48
2.04,349.74
2.05,361.80
2.06,373.62
2.07,385.16
2.08,396.35
2.09,407.17
2.10,417.56
2.11,427.48
2.12,436.91
2.13,445.79
2.14,454.10
2.15,461.80
2.16,468.87
2.17,475.26
2.18,480.97
2.19,485.96
2.20,490.21
2.21,493.72
2.22,496.46
2.23,498.42
2.24,499.61
2.25,500.00
2.26,499.61
2.27,498.42
2.28,496.46
2.29,493.72
2.30,490.21
2.31,485.96
2.32,480.97
2.33,475.26
2.34,468.87
2.35,461.80
2.36,454.10
2.37,445.79
2.38,436.91
2.39,427.48
2.40,417.56
2.41,407.17
2.42,396.35
2.43,385.16
2.44,373.62
2.45,361.80
2.46,349.74
2.47,337.48
2.48,325.07
2.49,312.56
2.50,300.00
2.51,287.44
2.52,274.93
2.53,262.52
2.54,250.26
2.55,238.20
2.56,226.38
2.57,214.84
2.58,203.65
2.59,192.83
2.60,182.44
2.61,172.52
2.62,163.09
2.63,154.21
2.64,145.90
2.65,138.20
2.66,131.13
2.67,124.74
2.68,119.03
2.69,114.04
2.70,109.79
2.71,106.28
2.72,103.54
2.73,101.58
2.74,100.39
2.75,100.00
2.76,100.39
2.77,101.58
2.78,103.54
2.79,106.28
2.80,109.79
2.81,114.04
2.82,119.03
2.83,124.74
2.84,131.13
2.85,138.20
2.86,145.90
2.87,154.21
2.88,163.09
2.89,172.52
2.90,182.44
2.91,192.83
2.92,203.65
2.93,214.84
2.94,226.38
2.95,238.20
2.96,250.26
2.97,262.52
2.98,274.93
2.99,287.44
3.00,300.00
